batch_index,batch_size,status,latency_sec,peak_memory_mb,process_rss_mb,ttft_sec,throughput_tps,decode_tps,output_tokens,total_tokens,error
0,1,ok,5.486092717999995,3004.0,1820.94921875,5.486092717999995,35.908981150398446,0.0,197.0,208.0,
1,1,ok,4.619916305000004,3004.0,1820.94921875,4.619916305000004,41.12628616115153,0.0,190.0,205.0,
2,1,ok,5.629714487000001,3004.0,1820.94921875,5.629714487000001,36.23629590293998,0.0,204.0,215.0,
3,1,ok,5.582132600999998,3004.0,1820.94921875,5.582132600999998,39.05317475993797,0.0,218.0,234.0,
4,1,ok,6.133055065999997,3004.0,1820.94921875,6.133055065999997,30.001361151972425,0.0,184.0,199.0,
5,1,ok,5.76715732400001,3004.0,1820.94921875,5.76715732400001,34.50573459681116,0.0,199.0,217.0,
6,1,ok,5.59073705900002,3004.0,1820.94921875,5.59073705900002,37.740998686448734,0.0,211.0,227.0,
7,1,ok,3.727021003999994,3004.0,1820.94921875,3.727021003999994,39.1733773014176,0.0,146.0,161.0,
8,1,ok,5.532293589000005,3004.0,1820.94921875,5.532293589000005,36.87439878563534,0.0,204.0,224.0,
9,1,ok,3.2909820120000006,3004.0,1820.94921875,3.2909820120000006,37.07100177246426,0.0,122.0,141.0,
10,1,ok,5.462668460000003,3004.0,1820.94921875,5.462668460000003,38.625811093064186,0.0,211.0,226.0,
11,1,ok,5.516336094999986,3004.0,1820.94921875,5.516336094999986,39.70026412975487,0.0,219.0,234.0,
12,1,ok,5.602656245999981,3004.0,1820.94921875,5.602656245999981,35.16189310037507,0.0,197.0,208.0,
13,1,ok,4.713622955000005,3004.0,1820.94921875,4.713622955000005,40.30869711342871,0.0,190.0,205.0,
14,1,ok,5.347135465000008,3004.0,1820.94921875,5.347135465000008,38.151268344573296,0.0,204.0,215.0,
15,1,ok,6.000522388000007,3004.0,1820.94921875,6.000522388000007,36.33017025916973,0.0,218.0,234.0,
16,1,ok,5.4861313130000156,3004.0,1820.94921875,5.4861313130000156,33.539117002903474,0.0,184.0,199.0,
17,1,ok,4.730445612000011,3004.0,1820.94921875,4.730445612000011,42.06791839973479,0.0,199.0,217.0,
18,1,ok,5.216833127000001,3004.0,1820.94921875,5.216833127000001,40.445993740523946,0.0,211.0,227.0,
19,1,ok,3.394114075999994,3004.0,1820.94921875,3.394114075999994,43.015643178399834,0.0,146.0,161.0,
20,1,ok,5.160411565000004,3004.0,1820.94921875,5.160411565000004,39.53173064404599,0.0,204.0,224.0,
21,1,ok,3.2324074999999937,3004.0,1820.94921875,3.2324074999999937,37.742766034294945,0.0,122.0,141.0,
22,1,ok,5.410322064000013,3004.0,1820.94921875,5.410322064000013,38.99952673870978,0.0,211.0,226.0,
23,1,ok,5.331567610000008,3004.0,1820.94921875,5.331567610000008,41.07609919252242,0.0,219.0,234.0,
